"Species","Plant.ID","Seed.estimate","Notes","plot","EG.adult","EG.seed","SP.adult","SP.seed","BH","BD","Avena","FEMY","BRADIS","Forb","Fabaceae","GAST","Density","BG.spp","rust","prop.dam.mini","mean.dam.mini","treat","prop.dam","mean.dam"
"EG","X802",0,"",85,2,7,1,7,73.8888888888889,4,16,0,0,50,16,0,4,"EG adults","0",NA,NA,"ambient",0.333333333333333,0.000333333333333333
"SP","X805",0,"",85,2,7,1,7,73.8888888888889,4,16,0,0,50,16,0,4,"EG adults","0",NA,NA,"ambient",0.333333333333333,0.000333333333333333
"EG","X807",0,"",85,2,7,1,7,73.8888888888889,4,16,0,0,50,16,0,4,"EG adults","0",NA,NA,"ambient",0.333333333333333,0.00333333333333333
"EG","X822",0,"",86,1,4,1,4,80,1,14,0,0,240,0,0,10,"SP seed","0",NA,NA,"ambient",0.333333333333333,0.000333333333333333
"SP","X823",0,"",86,1,4,1,4,80,1,14,0,0,240,0,0,10,"SP seed","0",NA,NA,"ambient",0,0
"EG","X850",0,"",87,7,3,1,0,120,1,7,6,0,17,22,0,8,"EG adults","1",NA,NA,"inoculation",0.666666666666667,0.00366666666666667
"EG","X851",0,"",43,0,3,7,1,75,17,10,0,0,13,9,0,6,"SP adult","1",NA,NA,"ambient",1,0.007
"SP","X855",0,"",43,0,3,7,1,75,17,10,0,0,13,9,0,6,"SP adult","0",NA,NA,"ambient",1,0.01
"EG","X865",0,"",88,0,240,1,7,40,5,8,0,0,13,31.1111111111111,0,40,"EG seed","1",NA,NA,"ambient",0.666666666666667,0.00366666666666667
"SP","X857",0,"",88,0,240,1,7,40,5,8,0,0,13,31.1111111111111,0,40,"EG seed","0",NA,NA,"ambient",1,0.001
"EG","X863",0,"",89,1,4,2,1,300,6,2,10,0,150,58.3333333333333,0,10,"SP seed","0",NA,NA,"inoculation",0.666666666666667,0.000666666666666667
"SP","X860",0,"",89,1,4,2,1,300,6,2,10,0,150,58.3333333333333,0,10,"SP seed","0",NA,NA,"inoculation",0,0
"EG","X861",0,"",89,1,4,2,1,300,6,2,10,0,150,58.3333333333333,0,10,"SP seed","0",NA,NA,"inoculation",0.666666666666667,0.00666666666666667
"EG","X880",0,"",90,1,3,1,6,83.3333333333333,1,14,0,80,40,9,0,80,"SP seed","0",NA,NA,"fungicide",1,0.001
"SP","X878",0,"",90,1,3,1,6,83.3333333333333,1,14,0,80,40,9,0,80,"SP seed","0",NA,NA,"fungicide",0,0
"EG","X882",0,"",91,1,9,1,1,12,5,25,0,16.6666666666667,53.3333333333333,7,0,100,"AB seed","0",NA,NA,"inoculation",0.666666666666667,0.00666666666666667
